epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
86,211.894,0.81059,1.7858,0.71379,1.06281,0,0.92709,0.85278,0.9262,0.70426,0.92709,0.85278,0.91184,0.58685,0.94836,1.72144,0.75592,0.9676,0,0.000226497,0.000226497,0.000226497
87,213.981,0.83202,1.83466,0.71381,1.06545,0,0.93272,0.84999,0.90418,0.7059,0.93272,0.84999,0.90281,0.56528,0.9458,1.78434,0.76926,0.96425,0,0.000212349,0.000212349,0.000212349
88,216.177,0.82512,1.75283,0.69959,1.05129,0,0.95554,0.88476,0.92647,0.69429,0.91237,0.84886,0.88762,0.56153,0.93638,1.81066,0.76683,0.95061,0,0.000198202,0.000198202,0.000198202
89,219.571,0.80822,1.77925,0.68843,1.04861,0,0.95933,0.88889,0.92484,0.7026,0.89302,0.83056,0.86029,0.56638,0.93651,1.82615,0.77989,0.95186,0,0.000184055,0.000184055,0.000184055
90,222.998,0.80469,1.6714,0.66874,1.03238,0,0.95689,0.88889,0.93255,0.69089,0.9354,0.86667,0.88894,0.56145,0.94646,1.80434,0.80102,0.95951,0,0.000169908,0.000169908,0.000169908
91,256.268,0.74934,1.53423,0.71719,1.05934,0,0.95565,0.88889,0.93136,0.68959,0.93385,0.86667,0.88816,0.55403,0.95287,1.79959,0.81365,0.9654,0,0.000155761,0.000155761,0.000155761
92,259.783,0.74993,1.51081,0.65413,1.04149,0,0.96471,0.8515,0.94293,0.69504,0.9432,0.82928,0.91734,0.57756,0.9544,1.76838,0.80323,0.95231,0,0.000141614,0.000141614,0.000141614
93,263.196,0.7511,1.37648,0.62523,1.04614,0,0.84734,0.92958,0.96679,0.7099,0.89127,0.8445,0.9298,0.59328,0.9498,1.75239,0.78243,0.94321,0,0.000127467,0.000127467,0.000127467
94,266.467,0.74906,1.50806,0.61442,1.05438,0,0.88001,0.91178,0.97139,0.71497,0.8559,0.89018,0.94459,0.60424,0.9438,1.73109,0.76399,0.94529,0,0.00011332,0.00011332,0.00011332
95,270.13,0.73637,1.41041,0.61227,1.02895,0,0.89249,0.94553,0.97453,0.71731,0.86926,0.91111,0.94601,0.605,0.93553,1.7284,0.75089,0.94554,0,9.91726e-05,9.91726e-05,9.91726e-05
96,273.573,0.74293,1.43902,0.5985,1.04488,0,0.89971,0.94347,0.97508,0.73195,0.86246,0.86968,0.92067,0.59743,0.92929,1.76607,0.75827,0.94462,0,8.50255e-05,8.50255e-05,8.50255e-05
97,277.24,0.75092,1.4905,0.6134,1.05774,0,0.95824,0.87814,0.96731,0.72723,0.92427,0.82457,0.9195,0.59726,0.93098,1.78908,0.75506,0.95044,0,7.08784e-05,7.08784e-05,7.08784e-05
98,280.622,0.72401,1.40279,0.58723,1.03735,0,0.92704,0.88333,0.96776,0.72309,0.90913,0.82994,0.91821,0.59017,0.92963,1.80339,0.74054,0.95313,0,5.67313e-05,5.67313e-05,5.67313e-05
99,283.971,0.71797,1.42688,0.59119,1.04005,0,0.95368,0.88182,0.97043,0.72552,0.92667,0.83087,0.92048,0.59171,0.93645,1.80515,0.73557,0.95433,0,4.25842e-05,4.25842e-05,4.25842e-05
100,287.441,0.70232,1.41059,0.58921,1.04312,0,0.94692,0.88072,0.96846,0.72317,0.92639,0.8585,0.94185,0.5862,0.93683,1.79468,0.73585,0.95306,0,2.84371e-05,2.84371e-05,2.84371e-05
